,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
0,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1990,1990,1000 persons,74754.921,X,International reliable sources,
1,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1990,1990,1000 persons,32923.693,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
2,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1991,1991,1000 persons,34133.44,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
3,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1991,1991,1000 persons,76596.98,X,International reliable sources,
4,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1992,1992,1000 persons,78397.927,X,International reliable sources,
5,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1992,1992,1000 persons,35349.208,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
6,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1993,1993,1000 persons,36576.156,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
7,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1993,1993,1000 persons,80173.404,X,International reliable sources,
8,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1994,1994,1000 persons,81944.046,X,International reliable sources,
9,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1994,1994,1000 persons,37825.51,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
10,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1995,1995,1000 persons,39104.11,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
11,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1995,1995,1000 persons,83725.038,X,International reliable sources,
12,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1996,1996,1000 persons,85522.34,X,International reliable sources,
13,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1996,1996,1000 persons,40415.999,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
14,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,1997,1997,1000 persons,41757.031,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
15,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,1997,1997,1000 persons,87329.956,X,International reliable sources,
