Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2000","2000","I$","3245.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2001","2001","I$","3277.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2002","2002","I$","3279","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2003","2003","I$","3388.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2004","2004","I$","3560.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2005","2005","I$","3706.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2006","2006","I$","3836.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2007","2007","I$","3931.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","3908.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2009","2009","I$","3930.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2010","2010","I$","3906.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2011","2011","I$","3928.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2012","2012","I$","3980.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2013","2013","I$","4069.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2014","2014","I$","4171.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2015","2015","I$","4278.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2016","2016","I$","4421.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2017","2017","I$","4571.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","4739.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2019","2019","I$","4690.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2020","2020","I$","4622.8","X","International reliable sources",""
